"","review","rating"
"18","flight with boliviana de aviacini bought a flight with trip.com to fly with boliviana de aviacin and everything was correct. they gave me a booking reference in 2 days and i could confirm that in the boliviana de aviacin website.",5
"19","avoid booking with trip.com at all costsavoid booking with trip.com at all costs. despite contacting them well in advance, i faced a brick wall when attempting to cancel my trip. even though i had only booked the trip two weeks prior, they adamantly refused any form of reimbursement or voucher. when i pleaded for a change in flight dates, they callously shut me down yet again. their utter disregard for customer satisfaction is appalling. they've pocketed over 200 of my hard earned money with no remorse or assistance offered. as a student on the exchange without the means to recover from such a loss, i am at a loss of what to do especially when i was pretty much told tough luck not our problem. spare yourself the headache and avoid this company because they don't care about customers ",1
"20","easy flight booking experienceeasy flight booking experience. they offer cheaper price and you'll get discount for booking hotels. such a convenience. thank you trip.com!",5
"21","trip.com has very efficient service totrip.com has very efficient service to initiate automatic boarding pass and timely information on flight delays or any changes ",5
"22","i paid for tickets for louvre all i seei paid for tickets for louvre all i see is voucher asked how to access tickets twice still waiting for response.",1
"23","trip to singaporei have book a ticket to singapore, easy to use and the price is reasonable and cheaper than other app",5
"24","very user friendlyvery happy as the platform is very user friendly, commendable",5
"25","i am very satisfied for service andi am very satisfied for service and policies. best of luck for trip.com team.best wishes. ",5
"26","i wanted to book my flight as goingi wanted to book my flight as going with scoot and return on japan air. the ticket was 629 sgd but not allow to get check in luggage. after i booked my flight at $1237 sgd then, i went online to check, the price was 1195 sgd. totally unable to trust the trip.com",1
"28","incomplete bookings bookings were not for the entire duration the hotel gave us a scare on our last day of stay ",3
"29","great servicegreat service efficient and a superb deal on a city based hotel needed for work overnight. would definitely use again and recommend to others. ",5
"30","easy to search and transacteasy to search and transact, offers best prices. so far so great.",5
"31","overall is satisfiedoverall is satisfied. clean & convenient for food hunting. ",5
"32","will never book flights throughwill never book flights through trip.com again ",1
"33","easy to bookeasy to book. took a few moments to figure out how to complete my transaction in english. once it was found, the process was quite simple.",4
"34","eveyything was nice n easy.especially the booking of air tickets the booking was easy n the paeyment wasthe booking was easy n the payment was easy too.will definitely use trip again for my next booking ",4
"35","all of the process was clear and easyall of the process was clear and easy to follow and complete",5
"36","one of the best booking siteone of the best booking site. genuine, trustworthy and real instead of those shitting makemytrip, mytickets or trip(copycat). good. job keep it up !! ",5
"37","prices easy and nice",5
"38","my great lovemy great love. its been helping out for several years now, we only bought trains, air and hotels here, the best prices. i receive feedback and customer care with pleasant valuable bonuses, i switched from all similar platforms only to trip.com",5
"39","booking like forecastedbooking like forecasted all goof",5
"40","hello hello i trust this app and its helped me a lot in all flights and hotels and nice prices thank for everything",5
"41","everything is good!!everything is good!!! ^^",5
"42","so happy i felt sad too when chinaso happy i felt sad too when china airline didnt response me so i have to book air india again",5
"43","everything great with clear detailseverything great with clear details about baggage and great prices",5
"44","i love this appi love this appi clicked it every day ",4
"45","recommended its great apps. easy to manage. ",5
"46","highly recommended very cheap flight ticket",5
"47","all right s good",5
"48","trip.com or bust seriously, i only book with trip.com when im not booking through the actual carrier/company i prefer to use (ex: through westjet). why?? they are heads and tails ahead of everyone regarding price and access to trips and times not always available through other third party options. ive booked vegas now two years in a row as they have the best options, period. ",5
"49","do not use trip.com or staybeyond ltddreadful service do not use. left me in an unsafe apartment in central london at the jasper walk escape provided by staybeyond ltd. when i complained a fraud was committed and is now in the hands of the uk courts. avoid using both companies and stick to safe providers like airbnb you have been warned. ",1
"50","perfect for everythingperfect for everything ",5
"51","never ever book a trip that you mightnever ever book a trip that you might have to change. even when changes are allowed, the change fees are more than the original flight fee so you lose any money you have already paid. will never ever book through them again, this has happened twice to me with these people. book direct through the airline!!!",1
"52","great ticket prices and discountsgreat ticket prices and discounts ",5
"53","what a terrible the christalbrook bailywhat a terrible the christalbrook baily hotel. they were all immature.almost them couldn't write down my name.i made the phone call twice.i send e mail as well.but, they answer was the kind of chat bot.my deposit was $50aureturn only $47.98authey seem to be very inverterate.",1
"54","stay was greatstay was great. decent breakfast choices mellisa from the reception was exceptionally professional and helpful, she was great assisting with our early check in and providing helpful recommendation.",4
"55","very happy with this company booked a few domestic flights in argentina with this company. all the flights went smoothly. the app is great and gives you all the information you need about your flight live. even gate number. would happily use them again in the future.",5
"56","straightforwardstraightforward. no surprises. great! will use in the future!",5
"57","easy to navigate systemeasy to navigate system, great offer saving 15 percent on cost, looking forward to using the app ",5
"58","greatgreat, so far.",5
"59","very good very good , thanks ",5
"60","snel en efficient",5
"61","excellentexcellent for tkt booking",5
"62","emergency contact not belong to any of my family or myselflike: online customer services not only with robot talk but human, that's better.dislike: options as additional baggage allowance shown in adds on however paid then was notified it's not allowed and not successfully purchased, that's very disappointing as the key reason to choose that air ticket is because of adding on baggage allowance existing and allow to pay. it caused inconvenience and end up i paying more for that flight cuz trip.com told me to purchase on airline website (website is not working well on payment)and not just i paid about 60dollar on international calling, it's i spent 45mins on phone. plus the airline website shown a emergency contact mobile number n email not even belong to myself or my family members .i asked the airline,he said it left by trip.com, the travel agency. when i checked with online customer services,i was told it's from airline and i need to modify it with airline myself.but i m like a ping pong ball. airline says it's travel agency i purchased air tickets from, i need to solve out myself with trip.com. that's very frustrating and confused. which my booking info on airline website shld not leave any contacts i don't know. ",2
"63","offers of hooks?was quick on the draw for one of trips easter offers of rail cards for 1. got half way through and it disappeared. tried again the next day tried to get a rail card for 15 half way through it changed to 24. seems these offers are just hooks to drag you in.",2
"64","the service is good especial the hotel reception greatthe service is good especial the hotel reception staff mr.hieu helpful and friendly.this hotel do not provide toothbrush.we should take ourself.its good to protect our earth",5
"65","i used to buy tickets heregood love it",5
"66","what went wrong this timemore wasted time and moneywhat went wrong this time? what went wrong last time? your program rejected my last review. now your message to me is that you want me to help you to improve so my next rip with you will be good.your instructions to go to the reservation that i made are wrong. no you are wrong. no. the page where i get to manage the two flights that i booked is down or it is inaccessible or your internet connection is bad. i will not take another trip with trip.com. ",1
"67","very smooth process from start to finish",5
"68","trustworthytrustworthy, safe, but i dont see any vouchers or coupons or any discounts on flight purchase!first time using it and am considering looking for some place else for cheaper prices ",3
"69","best for all.best for all. ",5
"70","is there any hidden fees to payis there any hidden fees to pay? what about the sites?shall i pay extra fees while doing check in you didn't mention any extra fees. so i hope while travelling i don't need to pay more ",3
"71","good price but late ticket delivery good price yes, but to receive the ticket it tokes more than 15 hrs which is not good at all and it makes me worried that no good customer service, only useless bot !!!",3
"72","warning re trip.combig warning to anyone booking with trip.com. the rate of the hotel was undisclosed to be in american$ rather than aus$ so much higher than its competitors also they added an additional reservation fee as well as currency fee. i got burnt and would like others to be warned to steer clear of them. dishonest and devious. ",1
"73","lauren liu is responsive and supportivelauren liu is responsive and supportive in my case of supplier failed to issue tickets. ",5
"74","well done trip.comwell done trip.com ",5
"75","i like to buy from them i like to buy from them , the app works good and the service great ",5
"76","easy to book an affordable flighteasy to book an affordable flight ticket.",5
"77","easy to bookingim so happy to know this app. its really easy to and the price is low than the other app",5
"78","very nice to use for booking and rapitvery nice to use for booking and rapit confirmation. ",5
"79"," the excellent booking app.it is a easy way to book and give very good services. there are reminding information at all steps what we should do in our booking.good!!!!",5
"80","good and fastit was fast and simple ",5
"81","i did not get the actual flight ticketswe got the pnr numbers for our flight but not the actual tickets. i hope it won't be a problem once flight time comes.",3
"82","all in oneall needs in terms of travel were intact on this site, also customer service was great ",5
"83","would never use this company ever againim surprised, shocked, and horrified to say the least. i did not expect such a sour experience with this company. i did my research, looked at the reviews and thought that this was a booking agency i could trust. their prices seemed too good to be true but naively, trustingly, i bought a $700 return ticket through them. upon issues with check in, the company was an absolute sheeeeet show of help (put nicely) and then refused a refund, to change my flight, or offer any real advice. the flight was purchased on behalf of my partner who needed to renew a visa asap so rebooking a flight within a 24 hour period (and no later) was non negotiable for me. i was offered 5,000 fly points as some sort of consolation, amounting to $50. kind of pathetic when i spent $700 and invested my faith, but hey, i decided i would use this company once more as im a believer in second chances and did feel as if they were trying to help.lo and behold i spent multiple hours trying to purchase a new ticket with my flight points, only to find no option to apply them. i tried on my phone. on my laptop. i installed the app. i verified my account multiple times. i rang customer service five times. i spent the rest of my day in a confused rage trying to use a bugged, glitched website, being talked to by a different representative. being offered patronising comments and no solution. this company has enough money to have a fully functioning server and website, yet they do not? so where do the funds for their business venture go?to gift me flight points that cannot be used ooooof what an absolute joke.the most i got was our tech team will review this within 72 hours but by 72 hours my desired flight would have long gone and my partner would have gone into overstaying, breaching the terms of his visa.we can offer you more flight points your server is having an issue where im not able to pay via credit card, paypal or anything other than debit card let alone select my flight points. thats like offering me an expired coupon. its completely useless. and you best believe i sent screenshots from laptop and phone which were just ignored. honestly they treated me like i didnt know how to use the internet, despite being a frequent traveller and well versed in technology, this company took no responsibility. despite being honest. patient. and even trusting of the customer service team. i have come out of this experience feeling bitter, belittled and would caution anyone wanting a safe, comfortable travel to use any of the other hundreds of companies available. this one is not worth the risk unfortunately and 99% sure they buy off their reviews instead of investing into a worthwhile business.",1
"84","good service for me and solve mygood service for me and solve my problems quickly ",5
"85","everything excellent.everything excellent. ",5
"86","i found this app is very convenienti found this app is very convenient ",5
"87","easy to bookconvenient !",5
"88","easy and very economicaleasy and very economical ",4
"89","it was a good tripit was a good trip, lovely people, good accommodations, delicious food.",5
"90","they often have the lowest prices andthey often have the lowest prices and reliable flights.",5
"91","nice and quicknice and quick ",5
"92","very good sevicevery good sevice ",5
"93","good serviceprice is cheaper. service is great. app is easy to use. ",5
"94","very happy for this deal",5
"95","i made a mistake booking my last flighti made a mistake booking my last flight and there isnt a way for me to fix it without huge cost ",1
"96","good competitionits good to have different options when traveling, airlines, hotels and activities.",4
"97","good price & on timegood price & on time ",4
"98","great experience.",5
"99","appointment i have appointment ",2
"100","i have just booked flights withi have just booked flights with trip.com and paid the extra for checked baggage, when i pressed confirm payment it says ive no checked baggage ",1
"101","great competitive prices great competitive prices on hotels and flights good customer service ",5
"102","flight cancelled",1
"103","economic and easyeconomic and easy ",5
"104","worst flightworst flight services given in the option ",1
"105","good service know to understand ",5
"106","helpful staffhelpful staff. comfortable room",5
"107","prices are higher compared to localprices are higher compared to local platforms, some reviews appears fake or by the hotel itself. human interaction is required, instead of forwarding customer here and there. hire more people than relying on bots. people are getting frustrated by auto answers and auto bots. because the bots cannot understand the situation/condition of the problem.",1
"108","thanks for notifyingthanks for notifying",4
"109","safe to book flights thats all i cansafe to book flights thats all i can say",5
"110","superb app with easy payment methodssuperb app with easy payment methods, clear menus and helpful itenary, also has nice discounts",5
"111","the trip app has some cool featuresthe trip app has some cool features that make it a great choice for booking tickets. it offers a user friendly interface, making it easy to navigate and find the tickets you need. additionally, it provides real time updates on prices and availability, ensuring that you get the best deals. you can also save your preferences and receive personalized recommendations based on your interests. overall, it's a convenient and affordable way to plan your trips. hope that gives you a better idea of the features! ",5
"112","last 3 years buy ticket only fromlast 3 years buy ticket only from trip.com ",5
"113"," email updatesis good to receive email updates, to have enough time for changing. thank you",5
"114","good update relevant update and precise ",5
"115","great applicationgreat application. especially when booking on emr train tickets.",5
"116","asa dfsadf koaisdfda aoidshf",1
"117","worst after sales experience i'm having a worst after sales experience with them, i want to change my flight and they are asking me to pay a whopping amount of 1700 aed which is not acceptable at all, i bought a flex fare meaning i would pay fare difference if any but 1700 aed can't be a fare difference amount, they are just putting this unto the airline but they are lacking to give me any proof that the airline is charging this, my flight is departing in 36 hours and this change is urgent as within 24 hours it wouldn't be possible, i confirmed with the airline that the fare difference was around 400 aed but the airline is telling i can only make changes with the same travel agent , please for god sake don't play with our money",1
"118","great to speak to real people whogreat to speak to real people who understood my requirements. no attempt to upsell phew.! ",5
"119","great app and great customer servicegreat app and great customer service. i would recommend to family and friends ",5
"120","timely and efficient customer servicea problem occurred with my booking. the carrier did not receive and honour certain baggage information. i contacted trip.com and my call was immediately answered and each step was documented by email. i'm impressed with the level of customer service and professionalism displayed at each step. everyone knows mistakes happen from time to time and what really matters is how they are handled. trip.com gets 10/10 for resolving my problem quickly and going above and beyond with the resolution.",5
"121","i am happy and thanks for good service",4
"122","goodgood. my trip was gret and the hotel is big and beautiful",5
"123","good informationvery useful apps to book",5
"124","after booking i immediately applied forafter booking i immediately applied for cancellation before receiving tickets confirmation . connected to team asked for refund have taken time for 24 hours . not yet responded . connect me on +91 9009808500",1
"125","the staff was helpful",5
"126","trip.com is peace of mind",5
"127","issuance of ticket not in order of customers transaction issuance of ticket not consistent my booking was done a minute before my daughters and yet she received her ticket confirmation pretty much immediately wheas i had to wait for 4 days this caused me some anxiety as i was wondering if something went wrong somewhere with my transaction. ",3
"128","nice smooth",5
"129","mis sold flight due to baggagemis sold flight due to baggage allowancefolks, i booked a flight from lhr to atq (heathrow to amritsar) with the airline vistara.whilst booking online, and throughout the whole booking process on trip.com, the luggage allowance was highlighted as 2 x 23kg for check in baggage. i took screen shots and also a video of the process.with the peace of mind that the luggage was indeed 2 x 23kg i went ahead with the booking.i was then issued to e tickets, one for the return leg lhr to del which stated 2 x 23kg allowance and then another e ticket for the domestic flights from delhi to amritsar which showed 1 x 15kg allowance.please note that my booking was from lhr to atq as a complete booking with a stop over in delhi. i was expecting one e ticket.now, due to having received two e tickets the whole journey is now subject to the 1 x 15kg allowance unless i pay the extra to allow the 2 x 24kg allowance.vistara state that if you are issued a single e ticket then the luggage allowance for the whole journey applies, that's 2 x 23kg from lhr to atq. but, if you have two e tickets then you are subject to the baggage allowances stated on each ticket.this is the response from trip after 11 days of emails:we have received a response from our it department regarding your feedback on baggage display. it has been acknowledged that the baggage allowance for the new delhi amritsar flight shows one piece(s), while the return flight from amritsar to new delhi shows 15kg during your booking. therefore, we are unable to take responsibility for any additional expenses incurred for baggage allowance purchases. thank you for your understanding in this matter.there is no evidence provided despite me providing a screen recording of the booking process. even today i can make the same booking without being told of the reduced luggage allowance.",1
"130","up to date information very informative.",5
"131","i had a mistake on name for booking ii had a mistake on name for booking i dont know why you cant correct it and you issue the ticket both you and the airline passing each other of who can help me fix the mistake thats disgusting",1
"132","can't help customer to change thecan't help customer to change the flight without penalty or to pay the price difference. we have use your app or your website for last one. ",1
"133","the apps is easy to usethe apps is easy to use, easy to read/understand. very useful i have already used this apps for quite a while. also, there is updated info about departure gate, boarding time.really helpful.",5
"134","more than i had expectedi have bought tickets, i also was given by invitation to lounge aria at the airport for free. thats really impressive! thank you trip.com!",5
"135","ease of website usagebooking was easy and during the check in to the hotel, the details are available and no issues.",4
"136","recommended",5
"137","easy booking and good system",5
"138","good application to use",5
"139","great customer servicegreat customer service when i had problems getting access to my uk train railcard. slight pain that they couldn't respond in the evening uk time but they replied by the time i woke in the morning on two occasions.",5
"140","very good servicevery good service, good location, and beautiful view.",5
"141","nice app for your flight and staynice app for your flight and stay , appreciated this comfort buddy. you will have a special buddy for your travel & you never go alone anymore with trip.com",5
"142","accuracy and price",5
"143","easy to use app",5
"144","good very so much ",5
"145","good!!good!!! easy to use",5
"146","good service and reliable",4
"147","the accurate detail informations ofthe accurate detail informations of flights and prices make booking fast and simple.",5
"148","this is the best website with the bestthis is the best website with the best rates!twice i needed to cancel my reservation after cancel time and both times they helped me! highly recommended",5
"149","thatgood and good price",5
"150","great website to find the good pricegreat website to find the good price accommodations and transportations. also the rewards is satisfaction offered.",5
"151","access to more services ( a one stopaccess to more services ( a one stop shop). easy to use app timely notifications and attention to detail",5
"152","trip.com exceeds my expectations booking flights and hotels is so easy so convenient offers lower prices, lots of choices provides trips/hotels details in the app provides reminders and notifications whenever there are changes in your booking secure payment",5
"153","ease of booking and pricing",5
"154","very useful app!",5
"155","thank youeasy to use reasonable price excellent communication",5
"156","response immediately",4
"157","hidden fees galorewhile you may feel like you've found a great deal on your flight, hotel, rental, etc., you will inevitably be subjected to a wide array of hidden fees resort fees, baggage fees, choose your seat fees, add insurance fees, all adding up to little to no savings and leaving you with that disheartening feeling that you've been swindled. i'd rather get the real price of my trip, upfront and straightforward, so that i'm not paying for all the extras throughout my vacation, sucking all the joy out of it.",3
"158","trip.com is one of the best companytrip.com is one of the best company they are cheaper then most of companies and very helpful ",5
"159","very convenient to use for travel.",4
"160","we book tickets through trip.com on thewe book tickets through trip.com on the first part of the trip such a mistake don't ever do it stay away from this site if you have a problem and your flight gets canceled it's on you to pay for the flight they make it as difficult as possible to change lights or find another flight it was the most nightmare experience. my daughter booked the tickets to europe we had a cancellation in europe and they expected us to pay for the new tickets in fall they didn't try to help us or anything it was the most nightmares experience do not use these people it took us so long to get money back from them. trust me this is the second rate company they run it out of another country and use new york as an address. once again do not book with this company because if you have a problem you will regret using this company all the rest of our flights we booked through someone else and had no problems whatsoever.",1
"161","fast bookingfast booking, good price. good website.",5
"162","i booked tickets for manila to bangkoki booked tickets for manila to bangkok (return tickets).1. easy to find flight combinations.2. easy procedures in booking.3. secured and safe online payment transactions4. trip.com service has a guarantee of issuance of tickets , which makes me more secured and confident that i have my tickets.5. detailed guidelines in managing bookings.6. easy access to informations regarding my bookings through trip.com.",5
"163","advice valentine days celebration thereadvice valentine days celebration there so happy and the place was nice",5
"164","not bad but not so good",3
"165","booking is easy and fastbooking is easy and fast. also, to change or cancel the booking without issues.",5
"166","best travel company ever HAPPYSMILE ",5
"167","exellent and cheap price",5
"168","punctual and comfortable transfer.",5
"169","very convenient",5
"170","the hotel room floor carpet is verythe hotel room floor carpet is very dirty and is causing a bad odor in the room, the mgmt should take into account that this is a serious hygiene issues",2
"171","excellent ryokan for peace and resting at reasonable pricethe ryokan book is far away from the city area. it's a little dated and needs upgrading. the staff are helpful and the rooms are comfortable if not very new. the onsen is comfortable with indoor and outdoor poolsfoodwise they serve a half kaiseki and half buffet. breakfast is sufficient. parking is no problem. altogether a quiet ryokan for resting.",4
"172","the staff of the hotel are so politethe staff of the hotel are so polite and very helpful.",5
"173","incompetent, disinterested, disorganized: save your money and book with someone else!two refunds from this company have gone missing. trying to get more details about these refunds (transaction numbers, refund mode, payment processor, etc.) has been like pulling teeth. each time, they repeat the same spiel over and over, and tell you to go to the bank with the same info they're not giving you. you're always attended to by someone with a different name, too, so you're totally guaranteed of reasonable follow ups to your case.to make matters worse, despite multiple instructions to correspond with the owner of the account only, they keep harassing the passenger named on the booking, who has had no part in the transaction and is also now subjected to this pathetic show of customer service, primarily through the farce of multiple emails sent to their account with more or less the same message each time.update: following this review, they are now harassing me on my mobile phone at 8:30 in the evening, despite explicit instructions not to contact me unless they've made substantive progress on my case, and by email to a designated account only. i'm clearly dealing with a steaming sewer of ineptitude and complete disregard over here.further update: it turns out that trip.com has opened multiple cases for my problem, resulting in further harassment of the passenger and evidently, crossed wires. rachel clearly didn't get the memo that trip.com's customer success team has dealt with, and resolved my case, earlier this week (following much gaslighting and unreasonable requests though, i regret to add).again, the lack of competence and basic communication shown here isn't exactly confidence boosting. and no amount of claims that i failed to communicate with you on this matter will convince me to either remove or modify my rating at this point, because this has been a truly, truly awful experience from beginning to end.",1
"174","fantastic app very convenient andfantastic app very convenient and intuitive full fill my holidays included guide to visit same places we want to know better our history.",5
"175","very convenince for customervery convenince for customer, i love your application for my traveling",5
"176","please informed in case need to bookplease informed in case need to book change date how much to charge",3
"177","really fast services",5
"178","stayed a night at impiana senai hotelstayed a night at impiana senai hotel, comfortable room and friendly staffs.",4
"179","easiest way to book",5
"180","never book ticket from them its bignever book ticket from them its big lie behind their representatives statement.",1
"181","will definitely use again!fast, smooth, secure",5
"182","reliable agentreliable agent.will use again next timw",5
"183","good reservation",5
"184","the site is to completed to muchthe site is to completed to much information on each page",2
"185","i have bought 6 ticket but tour perosni have bought 6 ticket but tour perosn only bought 5 ticket as they told my small baby not need ticket so i would request u to refund me that amt.",3
"186","i m happy for the vol good job",4
"187","good price no problems booking",4
"188","ive enjoyed every aspect of this appive enjoyed every aspect of this app. the honestly and customer service has also been a major helpline in making everything smooth sail for me. the only problem i have with this app is i have no problem with this app .",5
"189","awesome flightawesome flight, seat selection is good, i happy",5
"190","definitely going back to the hoteldefinitely going back to the hotel. everything was good from front office, reservation team, housekeeping and f&b staffs. the bed is comfortable, the room is clean, the shower was clean except for some stain on the wall. i hope aircond can be control by us because it can go until 17c in the morning.",5
"191","very easy booked hotel in suzhou and the train in chinaexcellent hotel in suzhou and exact instruction to use eticket for the train from shanghai to suzhou and from suzhou to hangzhou",5
"192","had a amazing experience in this hotelhad a amazing experience in this hotel. room are big and clean. strategic location near by pier and food. will def come back!",5
"193","smooth bookingi am able to find good and reasonable price, fit my itinerary.",5
"194","attentive and promp customer serviceattentive and promp customer service! loca and kaya helped resolve all my questions and guide me through the homepage. thanks very much! ",5
"195","great experiencepricing was good. customer service was courteous, prompt, and customer focused.",5
"196","123456789011234567890",5
"197","easy to useeasy site and lowest price",4
"198","more choices of air ticket and hotelmore choices of air ticket and hotel. refund is fast and prompt assistance both on phone and email.",5
"199","planesplanes, trains and automobiles ! calgary to sault ste marie ont. it all worked out and on time. good job people.",5
"200","booking made easy.",5
"201","no customer service and no help for clientsbought a ticket through it and on the morning of the flight, it was cancelled. tried calling several times for help and didnt really get one. theyve said i would get s full refund for this and later that day i received an email saying that the suggested amount of refund would be the full amount, however, the airline could deduct bits and bobs ! as a cliente you hvs absolutely no guarantees with them! its literally a site where you buy stuff sometimes cheaper, but hoping nothing goes wrong. bc if it goes, you are alone as there is absolutely not a client base protection from their end! on that same day i bought a new ticket and my keypad had a typo on my surname , i called and they said i had to reach out to the airline ( it was sold by them for an airline and then operated by another airline ) so i was thrown around 2 airlines and them ( paying international tariffs on calls ) and no one could help me. airlines kept on saying it was the site to help me and trip kept on saying it was the airline!! nightmare !!! not using trip.com ever again! shame",1
"202","best apps and user friendlybest apps and user friendly. easy to booked and make the transaction easier after confirmed it plus all in details when booking it.",5
"203","very simple and nice experience.",5
"204","my final cost was 396 sarmy final cost was 396 sarafter i paid you cut from my account 410 sarno trust in this website anymore ",1
"205","senior railcard cautionthe date for bookings is very tricky to access and you have to be very wary that you have got you considered booking right before you fix.my main problem was the senior rail card which i am alarmed to find is not readily available to me i have to go onto the trip.com app to access it. difficult to use when booking by other methods!",2
"206","hotel service well",5
"207","my booking was so fast and easymy booking was so fast and easy. my payment was also helpful as i used instalment plan for 6 month. i will use again trip.com on my next vacation.",5
"208","easy to use siteeasy to use site. tickets sent via email almost instantly. good prices. will use again",5
"209","it is accurate and responsiveit is accurate and responsive. very convenient",5
"210","i am satisfied with your service.",5
"211","locked ininitial checkout experience from skyscanner is good, but the fact you can't cancel a flight within 48hrs of booking it (when it's booked for several months later) without being charged over half your initial payment seems outrageous.*since leaving this review, i spoke with customer service who confirmed a full refund could not be issued and the conversation could not be escalated*",2
"212","straightforward booking experiencetrip has not let me down ever since. other providers are really slow, with much worse customer service.",5
"213","i made a booking to disneylandi made a booking to disneyland, paris for the 5th february 2024, however, the reservation came back as the 6th february 2024. although i was promised a full refund, they are now saying they can not. they even made us buy another ticket on site promising that we would be receiving full refund. lauren and estela who claim to be customer service managers are the most incompetent and dishonest professionals i have had to deal with in my entire life, an absolute cowboys!!! they caused me incur additional 50 euros in telephone calls.",1
"214","greatwebsite responsive well",5
"215","good experience and great company",4
"216","i used this app alot on booking flightsi used this app alot on booking flights and hotel, for hotel ull get confirmation right away, but for flight it will take awhile, but overall experiences i love using it, it also gives me lots of discount and benefits, their prices usually cheaper than any other apps",5
"217","fasttttt very good happy",5
"218","excellent service acd cheaper than others",5
"219","faster and easy",5
"220","the ease of booking and the variousthe ease of booking and the various options available to choose from and an excellent & economical price",5
"221","friendly easy complete information",5
"222","too cheap and comfortable with the price",5
"223","awesome site",5
"224","absolutely everything has been perfectabsolutely everything has been perfect from the moment i started using the app. they are always there when you need them, it's easy to use, tariffs are good. i totally recommend.",5
"225","good service ",5
